name,short_name,easting,northing,depth,log_q_c
B3_01,01,0,365.7,0.257,-2.9104350863644544
B3_01,01,0,365.7,0.277,-3.1965956082619327
B3_01,01,0,365.7,0.297,-3.173887747014899
B3_01,01,0,365.7,0.317,-3.1100617523857226
B3_01,01,0,365.7,0.337,-3.0942187007708757
B3_01,01,0,365.7,0.357,-2.8985487742250604
B3_01,01,0,365.7,0.377,-2.7720050259681446
B3_01,01,0,365.7,0.397,-2.7138120579735014
B3_01,01,0,365.7,0.417,-2.73955712599062
B3_01,01,0,365.7,0.437,-2.5617438306297373
B3_01,01,0,365.7,0.457,-2.65297756455404
B3_01,01,0,365.7,0.477,-2.6729757551015183
B3_01,01,0,365.7,0.497,-2.8560983129663122
B3_01,01,0,365.7,0.517,-2.9493799990492606
B3_01,01,0,365.7,0.537,-2.9840595530397778
B3_01,01,0,365.7,0.557,-2.965914643999415
B3_01,01,0,365.7,0.577,-2.939397637035345
B3_01,01,0,365.7,0.597,-2.9611092230188922
B3_01,01,0,365.7,0.617,-2.9495037771713695
B3_01,01,0,365.7,0.637,-3.04701847555656
B3_01,01,0,365.7,0.657,-3.047362433340276
B3_01,01,0,365.7,0.677,-3.1628163386822066
B3_01,01,0,365.7,0.697,-3.29390519195845
B3_01,01,0,365.7,0.717,-3.3484313002991755
B3_01,01,0,365.7,0.737,-3.1861045471187355
B3_01,01,0,365.7,0.757,-3.314425674283032
B3_01,01,0,365.7,0.777,-3.4042907543395
B3_01,01,0,365.7,0.797,-3.4713418422397972
B3_01,01,0,365.7,0.817,-3.3206716450683245
B3_01,01,0,365.7,0.837,-3.336425788073974
B3_01,01,0,365.7,0.857,-3.085395331079672
B3_01,01,0,365.7,0.877,-3.066466767952631
B3_01,01,0,365.7,0.897,-3.0844023481547715
B3_01,01,0,365.7,0.917,-3.4044680451510363
B3_01,01,0,365.7,0.937,-3.5497021926355834
B3_01,01,0,365.7,0.957,-3.5179737547187253
B3_01,01,0,365.7,0.977,-3.5246847604517924
B3_01,01,0,365.7,0.997,-3.448804062167008
B3_01,01,0,365.7,1.017,-3.387726266559335
B3_01,01,0,365.7,1.037,-3.4772818142689315
B3_01,01,0,365.7,1.057,-3.529363501756006
B3_01,01,0,365.7,1.077,-3.559497887582433
B3_01,01,0,365.7,1.097,-3.5548868990059397
B3_01,01,0,365.7,1.117,-3.539287810038386
B3_01,01,0,365.7,1.137,-3.347299299300569
B3_01,01,0,365.7,1.157,-3.337432016504144
B3_01,01,0,365.7,1.177,-3.402065834755663
B3_01,01,0,365.7,1.197,-3.571449612552987
B3_01,01,0,365.7,1.217,-3.591175111505826
B3_01,01,0,365.7,1.237,-3.6607618481413535
B3_01,01,0,365.7,1.257,-3.6282326373609517
B3_01,01,0,365.7,1.277,-3.561237412565498
B3_01,01,0,365.7,1.297,-3.4182526790891896
B3_01,01,0,365.7,1.317,-3.3772212181322665
B3_01,01,0,365.7,1.337,-3.5811699900726155
B3_01,01,0,365.7,1.357,-3.580842921119479
B3_01,01,0,365.7,1.377,-3.470601537678362
B3_01,01,0,365.7,1.397,-3.3344672880544723
B3_01,01,0,365.7,1.417,-3.182595365244243
B3_01,01,0,365.7,1.437,-3.258185357890307
B3_01,01,0,365.7,1.457,-3.255347073197392
B3_01,01,0,365.7,1.477,-3.2657385467690623
B3_01,01,0,365.7,1.497,-3.367956081740017
B3_01,01,0,365.7,1.517,-3.323849715241633
B3_01,01,0,365.7,1.537,-3.320113128042154
B3_01,01,0,365.7,1.557,-3.316745607333166
B3_01,01,0,365.7,1.577,-3.5046142241730927
B3_01,01,0,365.7,1.597,-3.5446773565194842
B3_01,01,0,365.7,1.617,-3.35409808208665
B3_01,01,0,365.7,1.637,-3.4516668021167205
B3_01,01,0,365.7,1.657,-3.4178384755451066
B3_01,01,0,365.7,1.677,-3.438928335025275
B3_01,01,0,365.7,1.697,-3.4890550590243747
B3_01,01,0,365.7,1.717,-3.5429794498399714
B3_01,01,0,365.7,1.737,-3.636880057886623
B3_01,01,0,365.7,1.757,-3.51890135476207
B3_01,01,0,365.7,1.777,-3.368639238473839
B3_01,01,0,365.7,1.797,-3.282267805705879
B3_01,01,0,365.7,1.817,-3.3385220332454124
B3_01,01,0,365.7,1.837,-3.4705813037074997
B3_01,01,0,365.7,1.857,-3.683584370134273
B3_01,01,0,365.7,1.877,-3.652599934225403
B3_01,01,0,365.7,1.897,-3.77760653125802
B3_01,01,0,365.7,1.917,-3.6344564569369076
B3_01,01,0,365.7,1.937,-3.7833953717615048
B3_01,01,0,365.7,1.957,-3.6451213433216694
B3_01,01,0,365.7,1.977,-3.5994735276672523
B3_01,01,0,365.7,1.997,-3.5595464385197424
B3_01,01,0,365.7,2.017,-3.4558984444319694
B3_01,01,0,365.7,2.037,-3.303969790050269
B3_01,01,0,365.7,2.057,-3.337655672461726
B3_01,01,0,365.7,2.077,-3.580518350923318
B3_01,01,0,365.7,2.097,-3.5479307549479215
