name,short_name,horizontal,depth,log_q_c
A2_01,01,0,0.256,-0.2707747104997631
A2_01,01,0,0.268,-0.549873799704905
A2_01,01,0,0.282,-0.8404290095658216
A2_01,01,0,0.295,-1.0233843786574233
A2_01,01,0,0.308,-1.1535618871616826
A2_01,01,0,0.321,-1.3705359684928795
A2_01,01,0,0.334,-1.4850122318027243
A2_01,01,0,0.347,-1.4453243127611581
A2_01,01,0,0.36,-1.353637486061512
A2_01,01,0,0.373,-1.2728232178818766
A2_01,01,0,0.386,-1.20612951696659
A2_01,01,0,0.399,-1.309022196996989
A2_01,01,0,0.412,-1.471844106200304
A2_01,01,0,0.425,-1.8452291367738565
A2_01,01,0,0.439,-1.994477793182976
A2_01,01,0,0.452,-2.030686951614341
A2_01,01,0,0.466,-1.9646425667900078
A2_01,01,0,0.479,-1.8115298918048426
A2_01,01,0,0.492,-1.5988427644769678
A2_01,01,0,0.505,-1.4542586335931926
A2_01,01,0,0.518,-1.4151246599870952
A2_01,01,0,0.531,-1.34490053695859
A2_01,01,0,0.544,-1.424323874843601
A2_01,01,0,0.557,-1.3392473391072004
A2_01,01,0,0.57,-0.9245073418567757
A2_01,01,0,0.583,-0.6998465587051448
A2_01,01,0,0.596,-0.5317096740218663
A2_01,01,0,0.608,-0.570396185181439
A2_01,01,0,0.621,-0.6328913975412384
A2_01,01,0,0.634,-0.6487036723411743
A2_01,01,0,0.647,-0.7014580163976499
A2_01,01,0,0.66,-0.7389419043593999
A2_01,01,0,0.673,-0.6638668487301533
A2_01,01,0,0.685,-0.6551582559189182
A2_01,01,0,0.697,-0.8272108708894396
A2_01,01,0,0.71,-0.9048513490157284
A2_01,01,0,0.723,-0.9851395839897915
A2_01,01,0,0.736,-0.9986546919135084
A2_01,01,0,0.748,-1.042062207196208
A2_01,01,0,0.761,-1.1787634104965807
A2_01,01,0,0.773,-1.2132933035424598
A2_01,01,0,0.786,-1.219375632661437
A2_01,01,0,0.799,-1.1974962004421514
A2_01,01,0,0.812,-1.2077556815876656
A2_01,01,0,0.825,-1.2908248648941054
A2_01,01,0,0.838,-1.331763147430217
A2_01,01,0,0.851,-1.2558569620520665
A2_01,01,0,0.864,-1.2474634099985968
A2_01,01,0,0.877,-1.2103277711660119
A2_01,01,0,0.89,-1.1809595345333987
A2_01,01,0,0.903,-1.0928897599461993
A2_01,01,0,0.915,-1.0159844592561358
A2_01,01,0,0.929,-1.0480489328430722
A2_01,01,0,0.942,-1.1326915418056462
A2_01,01,0,0.955,-1.0625951960543853
A2_01,01,0,0.968,-1.0671949624096169
A2_01,01,0,0.982,-1.0940775235276412
A2_01,01,0,0.995,-1.0284863441694505
A2_01,01,0,1.008,-0.9909133406665784
A2_01,01,0,1.021,-0.8930907923438466
A2_01,01,0,1.034,-0.7338311360455192
A2_01,01,0,1.047,-0.7203875304186894
A2_01,01,0,1.06,-0.7795329852211568
